Calidutherm 
"t " "Q(t) "
[h] [J/g]
0 0
0,0005555555555555556 0
0,009444444444444445 0
0,012222222222222221 0
0,015 0,01
0,017777777777777778 0,02
0,020833333333333332 0,03
0,024166666666666666 0,04
0,027222222222222217 0,05
0,03027777777777778 0,07
0,03333333333333333 0,09
0,03666666666666667 0,11
0,04083333333333334 0,13
0,04527777777777778 0,16
0,049444444444444444 0,19
0,06472222222222222 0,28
0,06972222222222223 0,31
0,07638888888888888 0,35
0,08194444444444444 0,38
0,08972222222222223 0,43
0,09666666666666666 0,47
0,20916666666666667 1,01
0,2152777777777778 1,03
0,2411111111111111 1,12
0,24833333333333335 1,14
0,2788888888888889 1,24
0,2872222222222222 1,27
0,2961111111111111 1,3
0,32472222222222225 1,38
0,33555555555555555 1,41
0,3705555555555556 1,5
0,38361111111111107 1,53
0,3977777777777778 1,56
0,4277777777777778 1,62
0,4438888888888889 1,65
0,46138888888888885 1,68
0,4986111111111111 1,75
0,5188888888888888 1,78
0,5411111111111111 1,82
0,565 1,86
0,5908333333333334 1,9
0,6188888888888889 1,94
0,6513888888888889 1,98
0,6702777777777779 2
0,7119444444444445 2,05
0,736111111111111 2,08
0,7899999999999999 2,14
0,8219444444444445 2,17
0,8619444444444446 2,21
0,9088888888888889 2,25
0,973611111111111 2,31
1,2227777777777777 2,53
1,3244444444444445 2,62
1,4177777777777778 2,71
1,5077777777777777 2,8
1,5941666666666667 2,89
1,7644444444444445 3,08
1,855 3,19
1,964722222222222 3,32
2,1480555555555556 3,55
2,4097222222222223 3,88
2,7380555555555555 4,28
2,935833333333333 4,51
3,1049999999999995 4,7
3,1402777777777784 4,74
3,181388888888889 4,79
3,2375 4,86
3,3119444444444444 4,96
3,4863888888888894 5,2
3,5277777777777777 5,26
4,045 5,97
4,078888888888889 6,02
4,835277777777778 7,06
5,288333333333333 7,7
5,607222222222222 8,16
5,926666666666667 8,64
5,935277777777777 8,65
5,939166666666667 8,66
5,947777777777778 8,67
6,5125 9,51
6,547777777777778 9,56
6,861944444444443 10,02
7,080555555555556 10,33
7,296666666666667 10,63
7,509722222222222 10,91
7,734444444444444 11,2
7,955277777777777 11,48
8,17361111111111 11,75
8,371666666666666 11,98
8,586666666666666 12,22
8,81611111111111 12,47
9,053055555555556 12,72
9,06 12,73
9,296111111111111 12,97
9,508888888888889 13,18
9,719444444444445 13,38
9,889444444444445 13,53
10,0775 13,69
10,269444444444444 13,85
10,483888888888888 14,02
10,786666666666667 14,24
11,219166666666666 14,54
11,676666666666666 14,84
11,710277777777778 14,86
12,326944444444443 15,25
13,14138888888889 15,72
13,890833333333333 16,14
15,261111111111111 16,83
15,366388888888888 16,88
15,401111111111112 16,9
15,434444444444445 16,92
15,467777777777778 16,94
15,508611111111112 16,96
15,530277777777776 16,97
24,473888888888894 21,08
24,512499999999996 21,1
24,55027777777778 21,12
25,356666666666666 21,46
25,380000000000003 21,47
25,39555555555556 21,48
25,95916666666667 21,72
28,72472222222222 22,77
29,456111111111106 23,08
29,499166666666667 23,1
29,533333333333335 23,11
29,56444444444444 23,12
30,534999999999997 23,53
30,56861111111111 23,54
30,619722222222222 23,56
32,144999999999996 24,2
32,181111111111115 24,22
32,214444444444446 24,23
32,841388888888886 24,52
33,50861111111111 24,84
34,361666666666665 25,3
34,39861111111111 25,32
34,43388888888889 25,34
35,31805555555555 25,85
39,653333333333336 28,45
39,715 28,49
39,750277777777775 28,51
39,784444444444446 28,53
