t[h] t[s] "Q(t) J/s" "dQ(t) J/gh" "Q(t) W/m³" "Q(t) J/kgs"
0 0 0,0000 0,0000 0,0000 0,0000
0,25 900 7,0914 1,0501 481,2911 0,2917
0,5 1800 4,5794 0,6781 310,8003 0,1884
0,75 2700 2,8987 0,4292 196,7335 0,1192
1 3600 1,9344 0,2865 131,2902 0,0796
1,25 4500 1,4672 0,2173 99,5819 0,0604
1,5 5400 1,3281 0,1967 90,1401 0,0546
1,75 6300 1,3899 0,2058 94,3325 0,0572
2 7200 1,5596 0,2309 105,8511 0,0642
2,25 8100 1,7720 0,2624 120,2644 0,0729
2,5 9000 1,9836 0,2937 134,6289 0,0816
2,75 9900 2,1682 0,3211 147,1561 0,0892
3 10800 2,3122 0,3424 156,9285 0,0951
3,25 11700 2,4114 0,3571 163,6618 0,0992
3,5 12600 2,4681 0,3655 167,5070 0,1015
3,75 13500 2,4884 0,3685 168,8903 0,1024
4 14400 2,4810 0,3674 168,3849 0,1021
4,25 15300 2,4549 0,3635 166,6121 0,1010
4,5 16200 2,4189 0,3582 164,1679 0,0995
4,75 17100 2,3806 0,3525 161,5713 0,0979
5 18000 2,3461 0,3474 159,2316 0,0965
5,25 18900 2,3196 0,3435 157,4312 0,0954
5,5 19800 2,3033 0,3411 156,3220 0,0947
5,75 20700 2,2975 0,3402 155,9312 0,0945
6 21600 2,3011 0,3407 156,1758 0,0947
6,25 22500 2,3115 0,3423 156,8832 0,0951
6,5 23400 2,3252 0,3443 157,8144 0,0956
6,75 24300 2,3382 0,3462 158,6903 0,0962
7 25200 2,3459 0,3474 159,2174 0,0965
7,25 26100 2,3444 0,3472 159,1138 0,0964
7,5 27000 2,3299 0,3450 158,1309 0,0958
7,75 27900 2,2996 0,3405 156,0742 0,0946
8 28800 2,2516 0,3334 152,8175 0,0926
8,25 29700 2,1853 0,3236 148,3146 0,0899
8,5 30600 2,1011 0,3111 142,6043 0,0864
8,75 31500 2,0010 0,2963 135,8108 0,0823
9 32400 1,8880 0,2796 128,1383 0,0777
9,25 33300 1,7660 0,2615 119,8606 0,0726
9,5 34200 1,6400 0,2428 111,3059 0,0675
9,75 35100 1,5152 0,2244 102,8366 0,0623
10 36000 1,3972 0,2069 94,8269 0,0575
10,25 36900 1,2912 0,1912 87,6365 0,0531
10,5 37800 1,2021 0,1780 81,5832 0,0494
10,75 38700 1,1333 0,1678 76,9166 0,0466
11 39600 1,0872 0,1610 73,7912 0,0447
11,25 40500 1,0645 0,1576 72,2447 0,0438
11,5 41400 1,0635 0,1575 72,1805 0,0437
11,75 42300 1,0809 0,1601 73,3579 0,0445
12 43200 1,1108 0,1645 75,3915 0,0457
12,25 44100 1,1458 0,1697 77,7637 0,0471
12,5 45000 1,1765 0,1742 79,8517 0,0484
12,75 45900 1,1930 0,1767 80,9721 0,0491
13 46800 1,1853 0,1755 80,4477 0,0488
13,25 47700 1,1448 0,1695 77,6970 0,0471
13,5 48600 1,0661 0,1579 72,3538 0,0439
13,75 49500 0,9491 0,1405 64,4164 0,0390
14 50400 0,8020 0,1188 54,4340 0,0330
14,25 51300 0,6443 0,0954 43,7319 0,0265
14,5 52200 0,5110 0,0757 34,6813 0,0210
14,75 53100 0,4570 0,0677 31,0176 0,0188
15 54000 3,4965 0,5178 237,3043 0,1438
15,25 54900 0,5681 0,0841 38,5542 0,0234
15,5 55800 0,5703 0,0845 38,7078 0,0235
15,75 56700 0,5727 0,0848 38,8692 0,0236
16 57600 0,5752 0,0852 39,0384 0,0237
16,25 58500 0,5778 0,0856 39,2151 0,0238
16,5 59400 0,5805 0,0860 39,3993 0,0239
16,75 60300 0,5833 0,0864 39,5908 0,0240
17 61200 0,5863 0,0868 39,7894 0,0241
17,25 62100 0,5893 0,0873 39,9950 0,0242
17,5 63000 0,5924 0,0877 40,2074 0,0244
17,75 63900 0,5956 0,0882 40,4265 0,0245
18 64800 0,5990 0,0887 40,6521 0,0246
18,25 65700 0,6024 0,0892 40,8841 0,0248
18,5 66600 0,6059 0,0897 41,1223 0,0249
18,75 67500 0,6095 0,0903 41,3666 0,0251
19 68400 0,6132 0,0908 41,6169 0,0252
19,25 69300 0,6170 0,0914 41,8730 0,0254
19,5 70200 0,6208 0,0919 42,1347 0,0255
19,75 71100 0,6248 0,0925 42,4020 0,0257
20 72000 0,6288 0,0931 42,6747 0,0259
20,25 72900 0,6329 0,0937 42,9527 0,0260
20,5 73800 0,6370 0,0943 43,2358 0,0262
20,75 74700 0,6413 0,0950 43,5238 0,0264
21 75600 0,6456 0,0956 43,8168 0,0266
21,25 76500 0,6500 0,0962 44,1144 0,0267
21,5 77400 0,6544 0,0969 44,4167 0,0269
21,75 78300 0,6590 0,0976 44,7234 0,0271
22 79200 0,6635 0,0983 45,0345 0,0273
22,25 80100 0,6682 0,0989 45,3498 0,0275
22,5 81000 0,6729 0,0996 45,6692 0,0277
22,75 81900 0,6777 0,1003 45,9926 0,0279
23 82800 0,6825 0,1011 46,3198 0,0281
23,25 83700 0,6874 0,1018 46,6507 0,0283
23,5 84600 0,6923 0,1025 46,9852 0,0285
23,75 85500 0,6973 0,1033 47,3232 0,0287
24 86400 0,7023 0,1040 47,6646 0,0289
